Date,Open,High,Low,Close,Adj Close,Volume
2018-09-20,72.900002,74.000000,72.000000,72.650002,72.650002,115846804
2018-09-21,74.000000,74.000000,71.949997,72.099998,72.099998,43838241
2018-09-24,70.650002,71.900002,69.000000,69.000000,69.000000,31460064
2018-09-26,69.349998,69.599998,65.650002,68.800003,68.800003,68632397
2018-09-27,68.800003,69.750000,65.650002,67.000000,67.000000,29514806
2018-09-28,67.050003,68.800003,65.050003,68.750000,68.750000,26889022
2018-10-02,68.750000,68.750000,66.050003,66.699997,66.699997,6611904
2018-10-03,66.500000,66.500000,65.000000,65.050003,65.050003,13389350
2018-10-04,65.050003,65.800003,64.949997,65.050003,65.050003,14815600
2018-10-05,64.849998,68.000000,63.799999,67.900002,67.900002,16945330
2018-10-08,68.050003,69.000000,68.000000,68.449997,68.449997,12875421
2018-10-09,68.000000,69.300003,68.000000,68.949997,68.949997,5585136
2018-10-10,69.300003,69.300003,68.500000,69.000000,69.000000,9010000
2018-10-11,67.000000,67.000000,60.000000,62.000000,62.000000,36620203
2018-10-12,61.799999,62.299999,58.250000,59.299999,59.299999,17488088
2018-10-15,60.000000,61.950001,53.700001,55.450001,55.450001,11367725
2018-10-16,55.799999,58.000000,55.799999,56.000000,56.000000,14010749
2018-10-18,57.099998,57.950001,53.900002,55.000000,55.000000,10245018
2018-10-19,55.099998,55.500000,52.799999,55.000000,55.000000,6373538
2018-10-22,56.200001,60.349998,54.250000,58.500000,58.500000,13604574
2018-10-23,58.549999,59.000000,54.099998,55.049999,55.049999,8703111
2018-10-24,56.500000,56.900002,52.250000,52.750000,52.750000,9604413
2018-10-25,50.150002,55.200001,50.150002,55.000000,55.000000,7989938
2018-10-26,55.299999,55.900002,51.750000,52.750000,52.750000,5718032
2018-10-29,52.500000,55.000000,52.250000,52.849998,52.849998,6819861
2018-10-30,52.299999,53.099998,49.799999,50.150002,50.150002,10378493
2018-10-31,50.500000,52.599998,49.450001,50.700001,50.700001,16590628
2018-11-01,52.450001,56.900002,52.000000,56.349998,56.349998,18512139
2018-11-02,60.000000,63.000000,58.500000,61.349998,61.349998,19469470
2018-11-05,60.000000,64.400002,59.599998,62.150002,62.150002,11757361
2018-11-06,62.500000,63.000000,61.700001,62.799999,62.799999,4586359
2018-11-07,62.799999,63.500000,61.450001,62.049999,62.049999,3474958
2018-11-08,62.799999,63.200001,59.549999,59.799999,59.799999,4331755
2018-11-09,60.000000,60.049999,55.000000,56.299999,56.299999,6976039
2018-11-12,56.400002,56.450001,52.349998,53.950001,53.950001,7366316
2018-11-13,51.299999,55.200001,51.299999,54.549999,54.549999,7060621
2018-11-14,55.200001,58.599998,53.250000,56.900002,56.900002,4528430
2018-11-15,57.500000,58.150002,56.049999,57.500000,57.500000,3307828
2018-11-16,57.799999,59.400002,57.000000,58.299999,58.299999,5727882
2018-11-19,58.500000,60.000000,57.599998,58.349998,58.349998,5370348
2018-11-20,56.900002,57.950001,56.250000,57.000000,57.000000,5786600
2018-11-21,57.000000,60.200001,56.349998,59.700001,59.700001,8520454
2018-11-22,60.700001,63.000000,59.000000,61.049999,61.049999,9433464
2018-11-23,56.049999,57.000000,52.250000,53.849998,53.849998,18461332
2018-11-26,53.950001,54.099998,50.900002,52.650002,52.650002,8579817
2018-11-27,51.849998,53.099998,50.049999,50.950001,50.950001,9010569
2018-11-28,51.099998,53.049999,49.650002,53.000000,53.000000,10342326
2018-11-29,53.900002,55.250000,50.250000,50.500000,50.500000,9647537
2018-11-30,51.000000,53.400002,51.000000,52.450001,52.450001,7860149
2018-12-03,55.049999,55.549999,54.000000,55.500000,55.500000,10186476
2018-12-04,55.549999,55.549999,53.000000,53.849998,53.849998,5265125
2018-12-05,52.849998,55.299999,51.650002,54.650002,54.650002,5854445
2018-12-06,54.799999,54.799999,52.250000,54.000000,54.000000,9598571
2018-12-07,53.000000,54.450001,52.900002,54.000000,54.000000,3870878
2018-12-10,53.950001,54.000000,51.650002,52.049999,52.049999,6282378
2018-12-11,53.000000,53.250000,51.900002,52.500000,52.500000,5323958
2018-12-12,53.950001,53.950001,52.099998,52.299999,52.299999,4180258
2018-12-13,52.549999,53.099998,52.049999,52.349998,52.349998,4430980
2018-12-14,52.299999,53.000000,51.549999,52.599998,52.599998,4849676
2018-12-17,52.700001,52.700001,50.650002,51.849998,51.849998,3721475
2018-12-18,51.799999,51.799999,47.900002,47.900002,47.900002,8637104
2018-12-19,48.150002,48.500000,45.200001,45.799999,45.799999,9201997
2018-12-20,45.599998,47.400002,44.599998,44.849998,44.849998,8695876
2018-12-21,44.250000,47.000000,43.099998,46.900002,46.900002,9429505
2018-12-24,46.200001,46.200001,43.200001,44.250000,44.250000,2629925
2018-12-27,46.450001,46.500000,45.099998,45.799999,45.799999,8884712
2018-12-28,45.900002,45.900002,44.049999,44.049999,44.049999,4137428
